age,education,job,income,house,credit,sex,relationship,country,savings,purpose,credit_score,expenses,loan
55,diploma,operaio,44106,rent,28705,male,sposato/a,europa,39812,car,3,1030,bad
51,diploma,ceo,104869,own,26116,female,sposato/a,italia,108696,furniture,4,3928,bad
44,triennale,privato,72945,rent,15751,female,sposato/a,extra-europa,58579,house,1,1521,bad
32,nessuno,manager,93502,rent,21218,male,vedovo/a,europa,88868,furniture,3,2986,bad
55,triennale,manager,89272,own,3498,male,divorziato/a,italia,79780,house,3,2893,good
40,diploma,operaio,33748,own,38295,male,sposato/a,europa,26164,car,5,933,bad
59,magistrale,privato,52149,rent,13039,female,sposato/a,europa,43231,furniture,1,1455,bad
54,nessuno,privato,32821,own,17255,male,sposato/a,italia,63091,car,0,1356,bad
50,phd,ceo,86861,rent,25216,female,sposato/a,europa,88360,education,3,3992,good
48,diploma,impiegato,67141,rent,29922,female,sposato/a,europa,53866,house,3,1211,bad
50,phd,impiegato,70046,own,13786,male,vedovo/a,europa,77218,house,2,1414,bad
52,diploma,operaio,20948,own,45870,female,divorziato/a,italia,28950,car,2,888,bad
44,phd,manager,75816,rent,49864,female,divorziato/a,europa,81052,house,3,3053,bad
32,triennale,operaio,50744,rent,15376,male,vedovo/a,extra-europa,51862,furniture,0,886,bad
50,nessuno,disoccupato,9000,own,9747,female,sposato/a,extra-europa,9000,car,2,579,bad
53,nessuno,privato,35434,own,45119,female,divorziato/a,europa,46310,furniture,0,1488,bad
54,triennale,impiegato,71610,rent,33676,male,sposato/a,italia,61953,house,3,1252,bad
46,triennale,impiegato,56730,rent,13044,female,sposato/a,italia,49869,car,0,1157,bad
50,magistrale,privato,51647,rent,24653,female,sposato/a,extra-europa,54420,house,4,1504,bad
55,phd,privato,68567,rent,37016,female,sposato/a,italia,55700,education,5,1560,bad
56,nessuno,disoccupato,9000,none,13294,female,vedovo/a,extra-europa,9000,furniture,0,486,bad
42,triennale,privato,47508,rent,7624,male,vedovo/a,europa,42311,furniture,4,1366,bad
48,diploma,privato,45496,none,17028,female,sposato/a,italia,72293,furniture,5,1363,bad
34,nessuno,operaio,29238,own,2833,male,divorziato/a,europa,46711,house,1,921,bad
31,nessuno,disoccupato,9000,own,29009,female,sposato/a,extra-europa,9000,house,3,625,bad
33,magistrale,impiegato,50892,rent,24092,male,divorziato/a,extra-europa,57783,house,0,1299,bad
45,nessuno,disoccupato,9000,rent,28941,male,single,italia,9000,furniture,0,507,bad
50,magistrale,ceo,83158,rent,37160,male,single,europa,108431,furniture,6,3840,good
34,diploma,privato,48696,rent,13842,female,divorziato/a,europa,63013,house,2,1552,bad
53,triennale,impiegato,73021,rent,20638,female,sposato/a,europa,57400,car,2,1221,bad
48,diploma,privato,39647,own,27852,female,single,italia,59008,furniture,4,1430,bad
57,diploma,ceo,93028,rent,4909,female,vedovo/a,extra-europa,96567,furniture,6,4145,bad
36,nessuno,privato,43146,rent,23660,female,sposato/a,europa,47090,furniture,1,1344,bad
51,nessuno,disoccupato,9000,none,7444,male,sposato/a,europa,9000,house,0,628,bad
49,phd,privato,43233,own,38268,male,sposato/a,europa,54387,furniture,3,1384,bad
52,triennale,privato,47032,rent,12044,female,sposato/a,extra-europa,52286,furniture,2,1330,bad
45,triennale,manager,76054,rent,47377,male,sposato/a,europa,80398,car,3,3119,bad
42,triennale,operaio,43360,rent,27823,female,divorziato/a,italia,36909,car,2,840,bad
39,phd,manager,69586,rent,48005,female,single,extra-europa,89076,education,6,2993,bad
58,triennale,manager,83464,rent,14384,female,sposato/a,extra-europa,86560,house,2,2837,bad
45,magistrale,operaio,34643,own,15159,female,divorziato/a,extra-europa,44927,house,4,892,bad
35,triennale,operaio,38801,own,32573,female,sposato/a,europa,33895,car,0,999,bad
48,triennale,ceo,103803,rent,15611,male,sposato/a,europa,98870,furniture,6,3981,good
46,phd,ceo,86523,rent,38470,female,sposato/a,extra-europa,101933,education,1,4034,bad
51,triennale,impiegato,49256,rent,758,male,sposato/a,europa,54122,house,4,1196,bad
43,magistrale,impiegato,63458,rent,45899,female,single,extra-europa,46222,house,5,1065,bad
46,diploma,operaio,54605,own,39606,male,vedovo/a,europa,46125,house,6,1032,bad
35,triennale,privato,51393,rent,46333,male,single,europa,35664,house,5,1501,bad
31,diploma,operaio,42601,rent,1010,male,vedovo/a,extra-europa,49144,house,3,945,bad
43,magistrale,impiegato,72377,own,26896,male,sposato/a,extra-europa,73913,house,6,1112,good
43,diploma,operaio,39019,own,30381,male,sposato/a,italia,31286,car,1,1038,bad
39,phd,ceo,99531,rent,15727,female,single,europa,104629,house,4,4138,good
53,nessuno,manager,71333,own,13401,female,sposato/a,extra-europa,78070,house,1,3110,bad
31,phd,disoccupato,9000,own,5951,male,single,italia,9000,car,5,384,bad
52,magistrale,impiegato,52706,rent,11017,male,sposato/a,extra-europa,75138,furniture,0,1203,bad
42,magistrale,privato,46272,own,27002,female,divorziato/a,italia,47210,furniture,4,1465,bad
35,triennale,manager,65611,rent,37381,male,divorziato/a,extra-europa,76350,furniture,5,3002,bad
59,diploma,operaio,53090,rent,13137,female,vedovo/a,italia,33941,house,3,767,bad
43,diploma,impiegato,49950,rent,7736,female,sposato/a,italia,59832,car,5,1386,bad
53,triennale,manager,85443,rent,32888,female,sposato/a,extra-europa,82318,house,4,2949,good
58,nessuno,manager,77683,own,17390,male,vedovo/a,europa,68060,house,3,3022,bad
51,triennale,manager,71210,rent,15076,female,divorziato/a,extra-europa,82894,furniture,2,3036,bad
50,nessuno,manager,102002,own,41890,male,divorziato/a,europa,78001,furniture,6,3093,bad
55,phd,operaio,13414,rent,10630,female,divorziato/a,europa,36468,furniture,1,932,bad
42,nessuno,disoccupato,9000,own,42261,female,single,extra-europa,9000,house,3,593,bad
46,magistrale,ceo,91072,rent,47420,female,vedovo/a,italia,104950,car,6,4081,good
33,phd,impiegato,35491,rent,25220,male,vedovo/a,italia,52922,car,3,1261,bad
59,triennale,manager,89871,own,23004,female,single,italia,61245,house,6,2795,good
31,phd,ceo,94117,rent,45925,female,vedovo/a,europa,101459,education,1,4020,bad
51,nessuno,manager,80140,rent,47827,female,single,europa,76532,car,4,3122,bad
31,magistrale,privato,56472,rent,34574,female,single,extra-europa,36293,furniture,4,1374,bad
55,nessuno,privato,64144,rent,10150,female,single,italia,45371,house,0,1350,bad
37,triennale,operaio,56332,rent,42149,female,vedovo/a,europa,35862,house,5,971,bad
36,phd,ceo,96853,own,4501,male,divorziato/a,italia,84825,car,3,3784,good
56,diploma,disoccupato,9000,none,18956,male,sposato/a,extra-europa,9000,furniture,2,569,bad
38,triennale,privato,45857,rent,31461,female,single,italia,62882,furniture,2,1313,bad
47,phd,privato,30742,own,34486,male,sposato/a,extra-europa,58130,education,1,1603,bad
53,diploma,impiegato,67672,rent,6155,female,sposato/a,europa,60552,furniture,4,1317,bad
31,magistrale,privato,49941,own,39167,male,divorziato/a,italia,41487,house,3,1431,bad
59,diploma,privato,31986,own,17006,male,single,europa,42231,car,3,1496,bad
51,triennale,ceo,92250,rent,43568,male,divorziato/a,italia,91227,car,5,4132,good
40,nessuno,disoccupato,9000,rent,29928,male,single,italia,9000,house,5,718,bad
51,diploma,operaio,37636,own,49784,female,sposato/a,extra-europa,41394,house,5,830,bad
36,nessuno,operaio,46634,rent,24372,female,single,europa,22298,car,1,843,bad
30,phd,disoccupato,9000,rent,790,female,sposato/a,italia,9000,house,3,456,bad
48,phd,impiegato,60468,rent,29711,female,sposato/a,europa,60460,car,1,1447,bad
36,nessuno,disoccupato,9000,none,11925,female,sposato/a,europa,9000,house,1,590,bad
59,nessuno,operaio,51710,rent,30717,male,sposato/a,europa,46897,house,2,798,bad
49,diploma,operaio,38720,own,4784,male,sposato/a,italia,39703,furniture,3,1034,bad
36,magistrale,privato,28806,rent,43242,male,divorziato/a,europa,74888,car,4,1400,bad
47,triennale,operaio,33213,own,44102,male,divorziato/a,extra-europa,50691,furniture,0,885,bad
39,magistrale,ceo,99598,rent,21277,male,single,italia,115619,furniture,3,3991,good
39,diploma,operaio,45305,own,16160,female,sposato/a,europa,33602,car,6,874,bad
44,nessuno,impiegato,64530,own,32475,female,sposato/a,italia,44360,house,0,1166,bad
44,nessuno,manager,59838,rent,16334,male,divorziato/a,extra-europa,72117,car,6,2944,bad
38,phd,manager,81618,rent,39950,male,divorziato/a,italia,71174,furniture,6,2968,good
52,nessuno,manager,76563,rent,9288,male,vedovo/a,extra-europa,79079,house,2,2810,bad
36,triennale,privato,50138,rent,12363,male,single,italia,58504,furniture,1,1435,bad
37,magistrale,manager,84937,rent,20513,male,vedovo/a,italia,83277,house,1,3021,bad
31,diploma,privato,52915,rent,15433,female,divorziato/a,extra-europa,37041,furniture,2,1642,bad
33,diploma,privato,42011,own,33537,male,sposato/a,europa,55538,car,6,1510,bad
37,phd,ceo,103424,rent,1007,male,sposato/a,europa,83521,education,0,3890,bad
35,phd,privato,52976,rent,9664,female,sposato/a,europa,46573,house,0,1469,bad
44,triennale,impiegato,72356,own,8736,male,divorziato/a,italia,64730,house,2,1313,bad
56,diploma,impiegato,49491,own,5952,male,sposato/a,extra-europa,60869,car,3,1445,bad
37,nessuno,operaio,31217,own,1721,male,sposato/a,extra-europa,32499,house,1,1041,bad
36,nessuno,disoccupato,9000,rent,25155,female,single,extra-europa,9000,furniture,6,572,bad
59,diploma,impiegato,73590,own,40150,male,single,italia,78754,car,1,1141,bad
58,nessuno,disoccupato,9000,none,858,female,sposato/a,italia,9000,furniture,5,450,bad
35,triennale,ceo,102031,rent,13559,male,sposato/a,extra-europa,106225,house,2,4279,bad
30,phd,privato,61912,own,27498,female,sposato/a,europa,46969,house,4,1425,bad
55,phd,ceo,93386,own,5917,male,sposato/a,extra-europa,83717,house,3,4022,good
53,diploma,disoccupato,9000,rent,25613,male,divorziato/a,italia,9000,furniture,3,358,bad
54,magistrale,ceo,102304,rent,19550,female,divorziato/a,italia,114644,house,6,4226,good
37,magistrale,operaio,21763,rent,45933,male,divorziato/a,europa,30624,house,4,896,bad
54,triennale,manager,78326,own,6705,male,single,italia,78553,house,2,2879,bad
36,triennale,privato,57541,own,21595,female,single,extra-europa,49467,house,6,1393,bad
54,diploma,operaio,35259,own,18280,female,vedovo/a,italia,34429,furniture,6,884,bad
46,triennale,impiegato,65579,own,46376,female,sposato/a,europa,69707,car,3,1282,bad
31,diploma,operaio,45074,rent,6887,female,divorziato/a,europa,42108,house,5,991,bad
55,magistrale,impiegato,45882,own,3609,male,sposato/a,italia,56775,furniture,1,1160,bad
46,nessuno,disoccupato,9000,own,11174,male,sposato/a,italia,9000,house,2,440,bad
31,phd,privato,34771,rent,36391,female,single,extra-europa,55251,education,2,1505,bad
35,magistrale,privato,51939,own,36093,male,sposato/a,italia,43105,house,2,1363,bad
41,magistrale,operaio,49698,rent,47732,male,sposato/a,europa,31758,house,6,916,bad
37,magistrale,impiegato,67866,own,25138,female,divorziato/a,extra-europa,65042,car,0,1205,bad
32,phd,ceo,92251,rent,45547,female,single,extra-europa,104632,car,6,3848,good
53,magistrale,impiegato,55265,rent,38642,female,single,italia,57541,house,2,1355,bad
33,nessuno,disoccupato,9000,none,14105,female,sposato/a,europa,9000,furniture,3,615,bad
40,nessuno,disoccupato,9000,none,5062,female,single,italia,9000,house,1,567,bad
45,triennale,privato,40940,own,49539,male,divorziato/a,europa,63783,car,5,1593,bad
55,phd,privato,48266,rent,14252,male,vedovo/a,extra-europa,43545,house,3,1705,bad
31,nessuno,disoccupato,9000,none,31444,male,vedovo/a,europa,9000,furniture,4,412,bad
32,diploma,disoccupato,9000,none,33642,female,divorziato/a,europa,9000,furniture,6,348,bad
36,diploma,impiegato,58099,rent,179,male,sposato/a,extra-europa,52435,car,3,1309,bad
38,phd,manager,92271,rent,23603,female,divorziato/a,italia,90391,education,6,2998,good
46,diploma,privato,39942,own,17944,female,sposato/a,extra-europa,37101,car,2,1508,bad
40,triennale,operaio,46281,own,49728,male,divorziato/a,extra-europa,52690,furniture,2,892,bad
38,magistrale,impiegato,67947,rent,35110,female,single,extra-europa,60221,furniture,3,1209,bad
32,magistrale,impiegato,41885,rent,28439,female,single,europa,76435,house,0,1153,bad
51,diploma,impiegato,67607,rent,17348,male,divorziato/a,italia,50145,furniture,3,1287,bad
41,nessuno,disoccupato,9000,none,35826,male,divorziato/a,europa,9000,car,2,604,bad
56,nessuno,operaio,41851,rent,5781,male,sposato/a,extra-europa,46486,house,6,970,bad
30,diploma,operaio,31098,own,27561,female,sposato/a,italia,31354,house,3,947,bad
40,diploma,privato,55555,rent,31730,male,divorziato/a,extra-europa,56229,car,5,1505,bad
42,magistrale,privato,65520,rent,42158,male,sposato/a,italia,52548,furniture,3,1500,bad
57,triennale,manager,72524,own,13002,male,single,extra-europa,72781,house,3,2956,bad
55,phd,ceo,74633,rent,34031,female,divorziato/a,extra-europa,103788,car,2,4071,bad
58,nessuno,operaio,57339,own,23997,male,sposato/a,europa,24769,furniture,2,837,bad
58,phd,ceo,109634,rent,43186,female,divorziato/a,italia,99527,furniture,6,3993,good
49,diploma,manager,85349,rent,16133,male,sposato/a,italia,73692,car,5,2972,bad
39,diploma,manager,78796,rent,41921,male,vedovo/a,italia,73167,furniture,5,3087,bad
42,triennale,manager,73589,rent,34646,female,sposato/a,italia,91320,house,6,3298,bad
30,diploma,ceo,91215,own,10189,female,sposato/a,extra-europa,100326,furniture,6,3930,bad
45,magistrale,impiegato,58740,own,10556,female,sposato/a,italia,70051,furniture,3,1287,bad
36,nessuno,operaio,40638,rent,27239,female,single,italia,47886,furniture,0,776,bad
30,nessuno,privato,61844,rent,38148,male,sposato/a,europa,33600,furniture,5,1417,bad
56,magistrale,impiegato,62445,own,15143,male,vedovo/a,europa,58273,house,4,1246,bad
58,diploma,impiegato,67094,rent,42796,female,sposato/a,europa,45976,car,5,1223,bad
57,phd,manager,68258,own,44257,female,sposato/a,extra-europa,97289,house,5,2988,bad
32,diploma,privato,50800,rent,43275,female,divorziato/a,extra-europa,54008,house,2,1512,bad
31,phd,manager,87097,rent,32753,female,single,extra-europa,82666,house,2,3031,bad
32,triennale,manager,88287,own,12542,female,single,europa,75414,house,2,3130,bad
39,phd,ceo,112641,rent,49454,male,single,europa,96250,house,2,4031,bad
49,phd,privato,47465,own,14069,male,divorziato/a,extra-europa,47656,car,2,1708,bad
37,diploma,operaio,27309,own,4098,female,single,europa,55144,car,1,833,bad
47,nessuno,disoccupato,9000,own,2180,male,divorziato/a,europa,9000,furniture,2,488,bad
53,diploma,impiegato,55802,rent,23865,male,vedovo/a,europa,58880,furniture,2,1277,bad
44,phd,manager,66069,rent,11495,male,sposato/a,extra-europa,73936,house,5,2920,bad
41,triennale,privato,59947,rent,32321,male,sposato/a,extra-europa,31485,car,6,1684,bad
38,triennale,ceo,97664,rent,2320,male,sposato/a,extra-europa,107585,car,0,4032,bad
57,triennale,privato,60947,rent,44566,male,sposato/a,europa,60868,furniture,3,1543,bad
55,diploma,privato,51342,rent,27843,female,sposato/a,europa,35097,furniture,2,1714,bad
35,diploma,privato,50273,own,14825,male,divorziato/a,extra-europa,66396,furniture,1,1596,bad
52,triennale,manager,84691,own,13862,male,vedovo/a,extra-europa,82952,furniture,3,3110,good
31,nessuno,disoccupato,9000,none,35462,female,divorziato/a,europa,9000,house,3,505,bad
37,diploma,impiegato,49928,rent,30570,male,sposato/a,italia,56387,house,6,1392,bad
31,magistrale,ceo,106394,rent,11513,female,sposato/a,italia,113154,house,0,3973,bad
55,diploma,operaio,32528,rent,29737,female,vedovo/a,extra-europa,39178,furniture,4,819,bad
43,diploma,privato,37637,rent,36777,female,divorziato/a,italia,73889,house,6,1366,bad
41,phd,manager,75091,rent,29600,male,divorziato/a,europa,96712,education,3,2994,bad
52,diploma,disoccupato,9000,none,408,female,sposato/a,europa,9000,car,6,324,bad
42,diploma,privato,68234,rent,6692,female,single,italia,59464,car,1,1434,bad
46,diploma,impiegato,65730,rent,35174,female,divorziato/a,europa,64387,car,5,1299,bad
52,phd,manager,78574,rent,43978,female,divorziato/a,italia,82855,education,5,2890,bad
53,magistrale,ceo,114540,own,2297,female,single,extra-europa,85538,house,2,3882,bad
53,nessuno,disoccupato,9000,rent,1203,female,divorziato/a,europa,9000,car,2,446,bad
47,phd,ceo,91986,rent,40999,male,sposato/a,italia,116957,education,0,4112,bad
57,magistrale,impiegato,56626,rent,10611,male,sposato/a,extra-europa,64687,furniture,6,1306,good
47,nessuno,operaio,38590,own,38319,male,sposato/a,europa,45418,car,0,861,bad
41,diploma,operaio,40608,rent,5911,male,sposato/a,italia,38974,furniture,6,1007,bad
54,triennale,ceo,98122,rent,33750,female,divorziato/a,italia,109782,house,4,4079,good
37,triennale,operaio,38144,rent,33141,female,divorziato/a,europa,43907,car,2,876,bad
49,diploma,operaio,47612,own,48539,female,divorziato/a,italia,55317,house,0,950,bad
51,nessuno,manager,87249,rent,45132,female,vedovo/a,italia,76996,furniture,0,2982,bad
31,diploma,privato,43304,rent,25853,male,vedovo/a,extra-europa,57617,furniture,0,1635,bad
43,magistrale,manager,92257,own,1026,male,sposato/a,italia,60722,furniture,1,2997,bad
53,diploma,disoccupato,9000,rent,4316,female,sposato/a,italia,9000,car,3,481,bad
39,magistrale,privato,58158,rent,33017,male,sposato/a,italia,44519,car,4,1404,bad
42,magistrale,operaio,36526,rent,28848,male,sposato/a,italia,32595,furniture,2,1008,bad
54,magistrale,impiegato,76803,rent,25628,female,sposato/a,extra-europa,50409,house,4,1161,bad
53,phd,privato,53769,own,19243,male,divorziato/a,europa,57332,education,3,1442,bad
