age,education,job,income,house,credit,sex,relationship,country,loan
55,diploma,privato,58832,own,38799,male,sposato/a,extra-europa,bad
52,nessuno,manager,81644,rent,32394,male,sposato/a,extra-europa,bad
58,phd,manager,67583,rent,23793,female,divorziato/a,europa,bad
57,diploma,privato,39773,own,26980,female,sposato/a,italia,bad
36,triennale,operaio,26577,rent,12546,female,vedovo/a,europa,bad
49,diploma,impiegato,67933,rent,10073,male,vedovo/a,extra-europa,bad
33,phd,impiegato,68605,own,47051,female,divorziato/a,italia,good
50,nessuno,disoccupato,9000,own,35920,male,sposato/a,extra-europa,bad
36,nessuno,disoccupato,9000,rent,40760,male,divorziato/a,europa,bad
50,triennale,manager,79657,rent,46667,female,sposato/a,extra-europa,bad
32,phd,manager,95171,rent,7664,female,vedovo/a,extra-europa,good
51,magistrale,privato,62902,rent,41666,male,divorziato/a,europa,bad
33,phd,impiegato,65041,own,29469,male,sposato/a,italia,good
51,phd,privato,59917,rent,2589,male,sposato/a,italia,bad
33,magistrale,privato,42235,rent,45196,male,vedovo/a,extra-europa,bad
50,triennale,operaio,31378,rent,5422,female,sposato/a,italia,bad
40,nessuno,disoccupato,9000,none,14561,male,sposato/a,europa,bad
48,triennale,manager,73371,rent,7806,male,vedovo/a,italia,bad
50,magistrale,manager,82230,rent,26017,female,divorziato/a,extra-europa,good
35,triennale,impiegato,99094,rent,11573,male,single,extra-europa,bad
42,triennale,operaio,40785,rent,33242,male,sposato/a,italia,bad
51,diploma,manager,78391,rent,9148,male,divorziato/a,italia,bad
41,triennale,manager,64566,own,31029,female,single,italia,bad
55,diploma,impiegato,66274,rent,35755,female,divorziato/a,italia,bad
43,diploma,impiegato,60381,rent,29441,male,divorziato/a,italia,bad
45,magistrale,privato,53114,rent,10094,male,sposato/a,europa,bad
50,phd,impiegato,70242,own,48365,female,sposato/a,italia,good
43,triennale,privato,58164,rent,10627,male,vedovo/a,italia,bad
33,nessuno,impiegato,52931,own,19188,female,single,italia,bad
31,triennale,operaio,57092,own,47941,male,single,extra-europa,bad
51,phd,ceo,106731,own,11170,male,sposato/a,europa,good
31,phd,impiegato,75233,rent,44654,female,divorziato/a,europa,bad
39,nessuno,operaio,33915,own,27883,male,single,italia,bad
37,nessuno,disoccupato,9000,none,48950,female,sposato/a,italia,bad
41,triennale,privato,45446,own,46910,female,divorziato/a,italia,bad
34,phd,impiegato,53068,rent,9931,male,sposato/a,extra-europa,bad
56,triennale,manager,95219,rent,31626,male,divorziato/a,europa,good
50,phd,manager,59372,rent,34661,male,divorziato/a,extra-europa,bad
34,diploma,operaio,29597,rent,10544,male,divorziato/a,italia,bad
41,magistrale,manager,81292,rent,14498,male,divorziato/a,italia,good
45,nessuno,disoccupato,9000,own,42875,male,single,extra-europa,bad
59,phd,privato,50736,rent,36887,male,vedovo/a,extra-europa,bad
31,diploma,operaio,16107,none,22615,male,sposato/a,extra-europa,bad
53,diploma,privato,54023,rent,43554,female,sposato/a,italia,bad
50,magistrale,privato,46434,rent,38662,male,divorziato/a,extra-europa,bad
50,phd,ceo,92017,rent,15852,female,divorziato/a,italia,good
42,magistrale,impiegato,66192,rent,48967,female,divorziato/a,extra-europa,bad
46,triennale,manager,90025,rent,41552,female,divorziato/a,europa,good
36,magistrale,manager,73807,rent,12872,female,divorziato/a,europa,bad
43,triennale,impiegato,76613,rent,13391,female,divorziato/a,italia,bad
49,triennale,privato,48223,rent,43876,female,single,extra-europa,bad
47,magistrale,operaio,33142,own,18362,male,single,extra-europa,bad
39,triennale,privato,38387,own,9856,female,divorziato/a,europa,bad
31,magistrale,privato,55972,rent,6380,female,sposato/a,europa,bad
31,magistrale,privato,22697,rent,37638,male,sposato/a,extra-europa,bad
43,triennale,manager,60335,rent,31301,male,sposato/a,extra-europa,bad
57,triennale,operaio,52146,rent,5807,female,divorziato/a,extra-europa,bad
47,diploma,operaio,49651,rent,36214,male,vedovo/a,italia,bad
35,diploma,impiegato,69221,rent,17613,male,divorziato/a,italia,bad
42,phd,manager,64456,rent,20956,female,divorziato/a,italia,bad
35,nessuno,disoccupato,9000,rent,26488,female,divorziato/a,extra-europa,bad
43,diploma,privato,36573,own,5508,female,sposato/a,europa,bad
39,phd,impiegato,53964,own,23783,male,divorziato/a,europa,good
44,phd,impiegato,34443,own,4854,female,sposato/a,extra-europa,bad
35,diploma,manager,91324,rent,18615,male,vedovo/a,extra-europa,bad
47,diploma,impiegato,50334,own,21128,male,vedovo/a,extra-europa,bad
45,phd,privato,55212,rent,4095,female,divorziato/a,europa,bad
57,magistrale,manager,77311,rent,49435,female,vedovo/a,extra-europa,bad
52,diploma,impiegato,71284,rent,29161,female,vedovo/a,extra-europa,bad
37,diploma,privato,59388,rent,1485,male,vedovo/a,extra-europa,bad
48,diploma,operaio,46144,own,36736,male,divorziato/a,italia,bad
46,nessuno,privato,30246,own,38848,male,vedovo/a,europa,bad
52,phd,manager,65330,own,18751,female,divorziato/a,extra-europa,bad
57,magistrale,privato,44729,own,1945,female,sposato/a,italia,bad
34,diploma,impiegato,58365,rent,10652,male,sposato/a,italia,bad
58,magistrale,manager,74707,rent,46989,female,single,europa,bad
30,magistrale,privato,55027,rent,18402,female,sposato/a,italia,bad
52,phd,ceo,91806,rent,26596,female,sposato/a,extra-europa,good
43,magistrale,impiegato,55879,rent,6285,female,divorziato/a,italia,bad
37,magistrale,manager,71035,rent,16150,male,sposato/a,extra-europa,bad
49,triennale,privato,53745,rent,13963,female,sposato/a,europa,bad
44,magistrale,privato,60918,rent,32820,female,sposato/a,extra-europa,bad
33,diploma,operaio,34757,rent,18362,male,sposato/a,europa,bad
35,phd,ceo,96348,rent,19598,female,sposato/a,extra-europa,good
39,diploma,manager,86161,rent,29771,female,sposato/a,europa,bad
31,nessuno,disoccupato,9000,own,26539,female,sposato/a,extra-europa,bad
30,triennale,operaio,41409,own,21525,male,single,italia,bad
45,magistrale,manager,77944,rent,17671,male,vedovo/a,extra-europa,bad
37,phd,privato,43362,own,7220,female,sposato/a,italia,bad
34,triennale,manager,83312,own,37514,female,sposato/a,europa,good
35,triennale,operaio,40832,own,21807,male,sposato/a,europa,bad
47,phd,impiegato,48300,rent,39846,female,sposato/a,extra-europa,bad
34,magistrale,privato,52558,rent,28214,male,sposato/a,europa,bad
31,diploma,privato,43302,rent,5899,female,single,extra-europa,bad
37,diploma,operaio,43999,own,20661,male,divorziato/a,europa,bad
55,phd,ceo,97772,rent,46438,female,divorziato/a,italia,good
58,nessuno,manager,90136,rent,11915,male,divorziato/a,europa,bad
35,triennale,impiegato,62585,rent,17134,female,divorziato/a,italia,bad
33,nessuno,disoccupato,9000,own,38730,female,sposato/a,italia,bad
52,magistrale,impiegato,58754,rent,41655,female,vedovo/a,europa,bad
36,phd,impiegato,60518,own,21644,male,sposato/a,italia,good
51,diploma,privato,40066,rent,16408,female,single,extra-europa,bad
32,magistrale,privato,60930,own,13533,female,sposato/a,extra-europa,bad
39,nessuno,manager,80218,own,6462,male,sposato/a,europa,bad
30,nessuno,disoccupato,9000,own,39104,male,sposato/a,extra-europa,bad
47,magistrale,operaio,39449,own,36829,male,divorziato/a,extra-europa,bad
58,magistrale,privato,51088,own,41324,female,divorziato/a,italia,bad
38,magistrale,ceo,85002,own,24048,female,single,extra-europa,good
56,nessuno,privato,42524,rent,17625,female,divorziato/a,europa,bad
30,magistrale,manager,80060,rent,36823,male,sposato/a,extra-europa,good
50,diploma,manager,75483,rent,40410,female,sposato/a,europa,bad
36,magistrale,manager,90581,rent,29440,female,single,extra-europa,good
34,phd,impiegato,41815,rent,38610,male,sposato/a,europa,bad
31,nessuno,manager,80127,rent,31063,male,sposato/a,europa,bad
47,triennale,impiegato,56259,rent,6371,male,sposato/a,extra-europa,bad
55,triennale,ceo,103540,own,44533,male,sposato/a,italia,good
39,triennale,operaio,30722,rent,27356,female,divorziato/a,italia,bad
53,nessuno,disoccupato,9000,own,24791,female,vedovo/a,europa,bad
39,triennale,impiegato,60374,rent,39027,male,vedovo/a,europa,bad
36,triennale,impiegato,61500,rent,49625,female,sposato/a,italia,bad
39,triennale,impiegato,68607,rent,11362,female,divorziato/a,extra-europa,bad
34,nessuno,disoccupato,9000,own,14980,male,divorziato/a,italia,bad
41,triennale,disoccupato,9000,none,42522,female,divorziato/a,extra-europa,bad
52,diploma,manager,73502,rent,14321,male,sposato/a,italia,bad
57,triennale,impiegato,60311,rent,6429,male,divorziato/a,italia,bad
52,magistrale,privato,48760,own,44725,male,sposato/a,extra-europa,bad
39,magistrale,impiegato,47146,own,42279,male,sposato/a,europa,bad
47,phd,ceo,84090,rent,29807,female,sposato/a,extra-europa,good
43,triennale,privato,50391,rent,14108,male,divorziato/a,extra-europa,bad
38,triennale,manager,72287,own,25754,female,divorziato/a,europa,bad
42,nessuno,disoccupato,9000,none,40920,male,sposato/a,italia,bad
30,triennale,impiegato,61417,rent,4111,female,divorziato/a,extra-europa,bad
45,triennale,manager,74682,rent,28419,male,vedovo/a,italia,bad
37,nessuno,impiegato,66279,own,33387,female,sposato/a,italia,bad
48,diploma,impiegato,54977,own,22033,female,sposato/a,europa,bad
32,nessuno,disoccupato,9000,rent,5909,female,vedovo/a,europa,bad
32,diploma,operaio,44159,rent,17390,male,sposato/a,europa,bad
48,triennale,manager,83331,own,45870,female,divorziato/a,extra-europa,good
47,nessuno,privato,27811,own,16346,female,divorziato/a,extra-europa,bad
33,magistrale,operaio,45304,rent,34514,female,divorziato/a,italia,bad
52,phd,privato,60744,rent,23196,male,single,europa,bad
45,triennale,manager,64566,own,18631,female,sposato/a,italia,bad
40,diploma,operaio,47619,rent,45157,male,divorziato/a,europa,bad
58,magistrale,privato,47691,rent,43135,male,divorziato/a,extra-europa,bad
38,nessuno,disoccupato,9000,none,16175,male,vedovo/a,europa,bad
49,phd,ceo,105148,own,21241,female,divorziato/a,italia,good
43,triennale,privato,32585,own,32609,male,divorziato/a,italia,bad
51,diploma,operaio,29439,rent,47634,male,sposato/a,extra-europa,bad
59,triennale,impiegato,55900,rent,7620,male,sposato/a,italia,bad
51,diploma,ceo,103797,own,10154,female,divorziato/a,europa,bad
38,nessuno,privato,64186,rent,34223,male,divorziato/a,extra-europa,bad
36,magistrale,privato,67936,rent,35058,male,sposato/a,extra-europa,bad
58,nessuno,disoccupato,9000,none,17028,female,divorziato/a,europa,bad
46,phd,privato,56711,rent,17737,male,vedovo/a,italia,bad
36,triennale,manager,82167,own,16241,female,sposato/a,extra-europa,good
32,nessuno,operaio,51152,own,36951,female,sposato/a,italia,bad
36,nessuno,disoccupato,9000,rent,36015,male,divorziato/a,europa,bad
39,magistrale,impiegato,56573,rent,28941,male,single,italia,bad
37,magistrale,manager,80958,own,21920,male,divorziato/a,europa,good
34,nessuno,privato,44630,rent,45126,male,divorziato/a,europa,bad
35,magistrale,impiegato,65299,own,7757,female,divorziato/a,extra-europa,good
39,nessuno,disoccupato,9000,none,29299,female,divorziato/a,extra-europa,bad
56,nessuno,operaio,53021,rent,1283,female,divorziato/a,europa,bad
48,magistrale,ceo,90326,rent,33900,male,vedovo/a,extra-europa,good
47,diploma,privato,53171,rent,39444,male,vedovo/a,europa,bad
33,magistrale,manager,72520,rent,20318,male,vedovo/a,extra-europa,bad
35,diploma,operaio,38858,own,22481,male,divorziato/a,italia,bad
31,phd,manager,76087,rent,5004,male,sposato/a,extra-europa,bad
56,magistrale,ceo,113533,rent,39741,female,sposato/a,italia,good
40,phd,manager,92396,rent,46943,male,sposato/a,extra-europa,good
41,magistrale,impiegato,58140,rent,5319,female,single,italia,bad
42,diploma,operaio,43400,rent,43926,female,sposato/a,europa,bad
55,triennale,manager,105432,rent,1529,female,sposato/a,italia,good
35,magistrale,privato,34956,own,46386,female,sposato/a,italia,bad
44,magistrale,impiegato,59257,rent,33239,male,sposato/a,europa,bad
51,triennale,privato,46158,own,1289,female,divorziato/a,italia,bad
42,triennale,ceo,89800,rent,14188,female,sposato/a,italia,good
57,triennale,privato,46453,rent,11493,male,sposato/a,europa,bad
32,phd,manager,82543,own,15159,male,sposato/a,italia,good
56,triennale,impiegato,79102,own,15313,female,sposato/a,italia,good
48,magistrale,ceo,112250,rent,27946,male,sposato/a,extra-europa,good
48,triennale,ceo,103803,rent,15611,male,sposato/a,europa,good
47,magistrale,operaio,38870,rent,23595,male,sposato/a,europa,bad
48,diploma,disoccupato,9000,rent,695,female,sposato/a,italia,bad
30,nessuno,disoccupato,9000,none,30079,male,single,europa,bad
40,phd,ceo,86394,rent,21388,female,vedovo/a,europa,good
36,diploma,operaio,36746,rent,10676,female,divorziato/a,europa,bad
49,nessuno,disoccupato,9000,own,35422,female,divorziato/a,europa,bad
40,nessuno,disoccupato,9000,own,6613,female,divorziato/a,europa,bad
45,nessuno,disoccupato,9000,rent,48092,male,sposato/a,europa,bad
48,magistrale,privato,51160,rent,24069,male,divorziato/a,extra-europa,bad
53,phd,manager,82295,rent,10513,male,divorziato/a,italia,good
49,triennale,operaio,47259,rent,47656,male,vedovo/a,europa,bad
48,magistrale,manager,76528,rent,48494,male,single,europa,bad
51,triennale,privato,30125,own,21100,female,sposato/a,europa,bad
54,nessuno,disoccupato,9000,none,6393,male,sposato/a,extra-europa,bad
31,magistrale,privato,46444,own,43682,male,divorziato/a,europa,bad
56,magistrale,impiegato,64450,own,18858,male,sposato/a,europa,good
51,phd,privato,55732,rent,13401,female,divorziato/a,extra-europa,bad
43,magistrale,ceo,88421,rent,35378,female,divorziato/a,italia,good
43,triennale,impiegato,71038,rent,11369,female,sposato/a,europa,bad
51,phd,ceo,114202,rent,6762,female,sposato/a,extra-europa,good
30,phd,privato,45501,rent,33119,female,divorziato/a,europa,bad
53,triennale,manager,70004,own,12755,male,vedovo/a,europa,bad
50,triennale,privato,52515,rent,40332,male,sposato/a,europa,bad
53,magistrale,privato,41065,rent,43435,female,vedovo/a,extra-europa,bad
38,phd,ceo,100116,own,39890,female,single,extra-europa,good
59,nessuno,privato,69741,rent,41314,male,divorziato/a,europa,bad
57,diploma,impiegato,54193,rent,44850,male,sposato/a,italia,bad
53,triennale,manager,94714,rent,10802,female,sposato/a,extra-europa,good
45,triennale,impiegato,64268,own,45802,female,sposato/a,italia,good
42,phd,privato,44722,rent,22104,female,sposato/a,extra-europa,bad
35,phd,privato,45473,own,22968,female,sposato/a,europa,bad
32,phd,operaio,59573,rent,34521,male,divorziato/a,italia,bad
48,phd,privato,67099,own,41890,male,divorziato/a,europa,bad
56,triennale,impiegato,67824,rent,15551,male,divorziato/a,italia,bad
57,nessuno,disoccupato,9000,own,3698,female,vedovo/a,extra-europa,bad
37,magistrale,impiegato,60415,own,17066,male,single,italia,good
36,phd,impiegato,60842,rent,13991,male,divorziato/a,extra-europa,bad
30,triennale,manager,97188,rent,10976,male,divorziato/a,italia,good
38,triennale,ceo,96523,rent,38369,male,divorziato/a,extra-europa,good
40,diploma,privato,29236,own,47280,male,sposato/a,extra-europa,bad
59,triennale,manager,75443,rent,12166,female,single,italia,bad
58,magistrale,manager,76020,rent,45980,male,sposato/a,europa,bad
37,magistrale,impiegato,69290,rent,26164,male,sposato/a,italia,bad
46,diploma,operaio,30661,rent,23744,female,sposato/a,extra-europa,bad
49,phd,manager,82103,rent,42253,male,sposato/a,italia,good
58,nessuno,disoccupato,9000,own,30987,female,vedovo/a,europa,bad
44,nessuno,disoccupato,9000,own,36952,female,divorziato/a,italia,bad
55,nessuno,privato,45076,rent,10150,female,single,italia,bad
39,triennale,impiegato,76332,rent,42149,male,single,europa,bad
35,nessuno,disoccupato,9000,rent,46892,female,divorziato/a,extra-europa,bad
36,phd,manager,75862,rent,26787,female,sposato/a,europa,bad
33,nessuno,disoccupato,9000,own,3141,female,single,italia,bad
50,diploma,manager,78862,rent,7403,male,sposato/a,extra-europa,bad
53,triennale,impiegato,48183,own,29311,female,sposato/a,europa,bad
54,nessuno,privato,31664,own,8057,male,sposato/a,extra-europa,bad
35,nessuno,disoccupato,9000,own,34486,male,sposato/a,europa,bad
31,diploma,impiegato,56983,rent,31927,female,single,europa,bad
51,phd,manager,72056,rent,1505,female,vedovo/a,europa,bad
55,magistrale,privato,50681,own,26438,female,divorziato/a,italia,bad
38,magistrale,privato,69427,own,10213,male,sposato/a,europa,bad
45,triennale,impiegato,46348,rent,41956,male,single,europa,bad
52,phd,privato,57883,rent,24996,female,divorziato/a,italia,bad
59,phd,disoccupato,9000,own,10781,male,vedovo/a,extra-europa,bad
45,phd,manager,106597,rent,18464,male,single,europa,good
51,triennale,operaio,40929,rent,27603,male,sposato/a,italia,bad
40,triennale,operaio,43050,rent,36932,female,single,extra-europa,bad
51,triennale,operaio,45050,rent,17191,male,sposato/a,italia,bad
43,nessuno,disoccupato,9000,rent,11348,male,sposato/a,extra-europa,bad
37,nessuno,impiegato,55882,rent,15706,male,divorziato/a,europa,bad
58,nessuno,privato,59601,rent,37487,male,divorziato/a,extra-europa,bad
31,nessuno,disoccupato,9000,none,24448,female,sposato/a,italia,bad
58,phd,impiegato,48772,rent,35069,male,divorziato/a,extra-europa,bad
48,diploma,privato,51272,rent,24895,female,divorziato/a,italia,bad
32,magistrale,impiegato,55022,own,28186,female,single,italia,good
36,diploma,disoccupato,9000,own,32762,male,divorziato/a,europa,bad
42,phd,manager,104888,rent,220,female,divorziato/a,extra-europa,good
47,triennale,operaio,30074,rent,38825,male,divorziato/a,extra-europa,bad
38,diploma,privato,49274,rent,21072,female,sposato/a,extra-europa,bad
46,phd,impiegato,60893,own,15611,male,sposato/a,italia,good
46,nessuno,manager,84739,own,17767,female,single,extra-europa,bad
44,nessuno,impiegato,59989,own,32475,female,sposato/a,italia,bad
45,diploma,operaio,34646,own,45108,female,sposato/a,italia,bad
46,diploma,privato,39698,own,32260,female,vedovo/a,europa,bad
58,phd,manager,81194,rent,8713,male,vedovo/a,italia,good
47,triennale,impiegato,73224,rent,1231,male,sposato/a,extra-europa,bad
54,diploma,manager,73800,rent,12840,female,vedovo/a,italia,bad
43,diploma,manager,79829,rent,4310,male,single,italia,bad
31,nessuno,privato,47439,rent,11667,female,sposato/a,europa,bad
36,diploma,operaio,41617,rent,16103,female,vedovo/a,italia,bad
43,nessuno,manager,74913,own,17310,female,sposato/a,italia,bad
30,triennale,manager,84186,rent,30541,female,single,italia,good
48,phd,manager,72011,own,33537,male,sposato/a,europa,bad
41,triennale,ceo,105538,rent,2282,female,single,extra-europa,good
37,phd,ceo,103045,rent,6121,female,sposato/a,europa,good
37,triennale,manager,84333,own,48190,female,divorziato/a,europa,good
49,triennale,impiegato,64218,rent,5316,female,vedovo/a,italia,bad
46,phd,privato,46703,rent,8695,male,single,italia,bad
55,magistrale,ceo,102458,rent,19979,male,sposato/a,extra-europa,good
41,nessuno,disoccupato,9000,none,20129,female,sposato/a,italia,bad
40,triennale,operaio,46032,own,48272,female,sposato/a,italia,bad
53,phd,impiegato,59414,own,25011,female,divorziato/a,europa,good
32,nessuno,operaio,49072,own,3174,female,single,extra-europa,bad
30,magistrale,ceo,117302,rent,41061,male,sposato/a,extra-europa,good
58,nessuno,disoccupato,9000,none,858,male,sposato/a,italia,bad
57,triennale,manager,84827,rent,25206,female,sposato/a,italia,good
41,phd,ceo,100807,rent,8464,female,sposato/a,italia,good
31,triennale,privato,55858,own,23497,male,single,europa,bad
55,phd,impiegato,53802,rent,17514,male,vedovo/a,europa,bad
44,magistrale,impiegato,48951,own,29896,female,divorziato/a,europa,bad
57,nessuno,operaio,36174,rent,47537,female,vedovo/a,europa,bad
38,triennale,manager,74294,rent,11808,female,sposato/a,extra-europa,bad
43,triennale,operaio,42409,own,6123,male,single,extra-europa,bad
59,magistrale,manager,73655,rent,45933,female,divorziato/a,europa,bad
44,phd,operaio,44538,rent,39011,male,divorziato/a,italia,bad
46,diploma,operaio,38878,own,25045,male,single,extra-europa,bad
57,nessuno,disoccupato,9000,none,44890,male,divorziato/a,extra-europa,bad
46,triennale,impiegato,49390,own,45994,male,sposato/a,extra-europa,bad
45,diploma,operaio,35259,own,46152,male,divorziato/a,europa,bad
30,nessuno,disoccupato,9000,own,6280,male,divorziato/a,europa,bad
43,triennale,manager,88187,rent,6447,male,single,europa,good
31,diploma,operaio,38223,rent,6887,female,divorziato/a,europa,bad
55,nessuno,operaio,35991,rent,35320,female,sposato/a,europa,bad
51,triennale,privato,47654,rent,10223,female,vedovo/a,extra-europa,bad
55,nessuno,disoccupato,9000,none,11878,male,divorziato/a,europa,bad
40,magistrale,manager,86458,rent,39178,female,single,europa,good
53,diploma,operaio,45742,rent,36391,male,divorziato/a,extra-europa,bad
38,nessuno,privato,31126,own,37953,male,sposato/a,italia,bad
42,magistrale,privato,39759,rent,41298,female,sposato/a,extra-europa,bad
41,magistrale,operaio,49698,rent,47732,male,sposato/a,europa,bad
43,phd,ceo,91758,rent,41654,female,sposato/a,extra-europa,good
32,triennale,impiegato,47756,own,17158,male,divorziato/a,europa,bad
44,nessuno,impiegato,66454,rent,42252,male,sposato/a,italia,bad
47,nessuno,impiegato,63322,rent,46691,female,sposato/a,extra-europa,bad
45,magistrale,ceo,122023,own,3119,female,vedovo/a,italia,good
32,phd,impiegato,46896,own,24097,female,vedovo/a,europa,bad
45,diploma,operaio,42421,rent,541,female,sposato/a,europa,bad
31,phd,ceo,93999,own,9271,male,divorziato/a,italia,good
38,diploma,privato,40496,own,49539,female,divorziato/a,extra-europa,bad
50,diploma,ceo,99861,own,17100,male,vedovo/a,europa,bad
42,magistrale,manager,84150,rent,13495,female,sposato/a,europa,good
51,phd,manager,70124,rent,2621,female,sposato/a,extra-europa,bad
46,nessuno,disoccupato,9000,none,33642,male,vedovo/a,europa,bad
50,magistrale,impiegato,49385,own,45294,male,sposato/a,extra-europa,bad
48,phd,privato,55902,rent,26189,female,single,extra-europa,bad
57,phd,manager,92271,rent,20678,female,divorziato/a,extra-europa,good
39,nessuno,disoccupato,9000,none,33253,male,sposato/a,extra-europa,bad
53,phd,impiegato,45567,own,15767,female,sposato/a,italia,bad
46,phd,impiegato,45250,rent,21371,male,sposato/a,extra-europa,bad
53,nessuno,disoccupato,9000,none,3136,female,sposato/a,europa,bad
42,triennale,privato,49742,rent,38521,female,divorziato/a,italia,bad
55,phd,ceo,96654,own,33187,male,divorziato/a,extra-europa,good
47,triennale,manager,82756,rent,28439,male,single,europa,good
34,magistrale,privato,42279,rent,24157,female,single,europa,bad
33,diploma,operaio,43760,rent,36155,male,divorziato/a,italia,bad
57,nessuno,disoccupato,9000,own,5771,female,divorziato/a,italia,bad
38,triennale,impiegato,70414,own,32315,male,sposato/a,extra-europa,good
38,phd,ceo,91972,rent,230,female,sposato/a,europa,good
30,diploma,operaio,48557,rent,27561,female,sposato/a,italia,bad
49,nessuno,disoccupato,9000,none,15038,female,vedovo/a,extra-europa,bad
42,triennale,privato,47175,rent,22040,female,divorziato/a,italia,bad
30,triennale,manager,71237,rent,25150,female,divorziato/a,europa,bad
58,triennale,operaio,40545,rent,37739,male,sposato/a,italia,bad
32,diploma,privato,73105,rent,8515,male,single,italia,bad
55,phd,ceo,102658,rent,30851,male,divorziato/a,extra-europa,good
55,magistrale,ceo,115062,rent,30364,female,vedovo/a,europa,good
47,nessuno,disoccupato,9000,own,45227,male,divorziato/a,extra-europa,bad
40,magistrale,privato,41808,own,13229,female,divorziato/a,extra-europa,bad
48,nessuno,disoccupato,9000,own,11836,female,sposato/a,italia,bad
30,diploma,manager,67706,own,32863,female,single,extra-europa,bad
59,magistrale,manager,77242,rent,12431,male,single,europa,bad
33,magistrale,manager,78796,rent,44868,male,divorziato/a,extra-europa,bad
43,magistrale,privato,66960,rent,48578,male,sposato/a,italia,bad
56,diploma,privato,36244,rent,40192,male,sposato/a,europa,bad
