age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,predicted
33,female,unskilled_resident,rent,unknown,unknown,2186,15,furniture/equipment,good,good
23,female,skilled,own,moderate,unknown,3488,24,car,good,good
50,male,skilled,rent,quite_rich,unknown,1236,6,car,good,good
24,female,unskilled_resident,rent,moderate,unknown,11590,48,car,bad,bad
24,male,skilled,own,little,rich,3016,12,radio/TV,good,good
27,female,skilled,own,little,little,3123,24,car,bad,bad
42,male,highly_skilled,free,little,little,7763,48,car,bad,bad
35,male,skilled,own,unknown,unknown,976,12,radio/TV,good,good
35,male,skilled,own,moderate,unknown,4151,24,furniture/equipment,good,good
75,female,highly_skilled,own,unknown,little,1374,6,car,good,good
24,male,skilled,own,moderate,moderate,5595,72,radio/TV,bad,bad
38,male,skilled,own,unknown,unknown,3914,48,business,bad,bad
27,male,skilled,own,unknown,rich,1347,10,radio/TV,good,good
23,male,unskilled_non_resident,own,unknown,moderate,14555,6,car,bad,bad
26,female,highly_skilled,own,little,unknown,10974,36,furniture/equipment,bad,bad
30,male,highly_skilled,own,little,little,1823,24,radio/TV,bad,bad
39,male,unskilled_resident,own,moderate,moderate,1037,12,business,good,good
36,male,highly_skilled,own,little,unknown,3275,21,car,good,good
36,male,skilled,own,quite_rich,rich,2360,15,car,good,good
35,male,skilled,rent,little,moderate,1919,9,furniture/equipment,good,good
37,male,highly_skilled,own,unknown,rich,3399,12,radio/TV,good,good
22,male,skilled,free,little,little,3973,14,car,good,bad
33,male,skilled,own,moderate,little,2359,24,furniture/equipment,bad,bad
60,male,highly_skilled,own,unknown,moderate,6468,20,car,good,good
36,male,skilled,own,little,moderate,3915,27,business,bad,bad
24,female,unskilled_resident,own,little,little,1228,12,car,bad,bad
27,female,skilled,own,little,moderate,2930,12,radio/TV,good,good
28,female,skilled,own,little,unknown,1382,6,radio/TV,good,good
43,male,skilled,rent,little,little,4843,12,car,bad,bad
23,male,unskilled_resident,own,little,moderate,1246,24,car,bad,bad
32,female,skilled,own,little,moderate,2528,27,business,good,bad
21,male,unskilled_resident,own,little,little,1289,12,furniture/equipment,good,good
44,female,unskilled_resident,rent,little,rich,1881,12,radio/TV,good,good
41,male,skilled,own,unknown,unknown,3160,21,radio/TV,good,good
29,male,skilled,own,little,moderate,1103,12,radio/TV,good,good
36,male,skilled,own,unknown,unknown,3079,36,car,good,good
27,male,highly_skilled,own,little,unknown,6314,24,vacation/others,good,good
22,female,unskilled_resident,own,little,little,806,15,business,good,good
35,male,skilled,own,moderate,unknown,2753,9,radio/TV,good,good
33,male,skilled,own,unknown,unknown,3074,9,radio/TV,good,good
33,male,unskilled_resident,own,little,little,2579,12,car,bad,bad
24,male,skilled,own,unknown,moderate,2030,9,furniture/equipment,good,good
29,male,highly_skilled,rent,moderate,moderate,9034,36,furniture/equipment,bad,bad
32,female,skilled,rent,unknown,little,1285,24,car,bad,bad
25,female,skilled,rent,little,little,1433,15,furniture/equipment,good,bad
24,male,skilled,own,little,little,9271,36,car,bad,bad
40,male,unskilled_resident,rent,quite_rich,unknown,1597,10,car,good,good
26,female,skilled,own,little,unknown,2404,18,radio/TV,good,good
55,male,highly_skilled,free,little,moderate,9283,42,car,good,bad
35,male,unskilled_non_resident,own,unknown,moderate,1549,9,car,good,good
47,male,skilled,own,quite_rich,unknown,1213,15,radio/TV,good,good
41,male,unskilled_resident,own,little,moderate,888,12,car,bad,bad
39,female,skilled,own,little,little,860,6,car,good,bad
33,male,skilled,own,little,unknown,1851,24,radio/TV,good,good
22,female,skilled,rent,little,little,3632,24,car,good,bad
37,male,skilled,rent,little,little,3676,6,car,good,good
29,male,skilled,own,moderate,moderate,2896,24,radio/TV,good,good
22,male,skilled,own,moderate,moderate,1514,15,repairs,good,bad
59,female,skilled,own,unknown,unknown,5045,15,car,good,good
46,male,unskilled_resident,rent,unknown,unknown,730,7,radio/TV,good,good
21,male,skilled,own,little,unknown,15653,60,radio/TV,good,bad
57,female,skilled,rent,rich,little,3622,30,furniture/equipment,good,good
33,female,unskilled_resident,own,unknown,moderate,3195,9,car,good,good
24,male,skilled,rent,little,moderate,2323,36,radio/TV,good,good
51,male,skilled,own,unknown,unknown,3342,36,radio/TV,good,good
54,female,highly_skilled,rent,little,unknown,3568,15,radio/TV,good,good
32,male,highly_skilled,free,little,unknown,4686,36,car,good,good
31,male,unskilled_resident,own,moderate,moderate,9857,36,business,good,good
20,male,skilled,rent,unknown,rich,3617,24,furniture/equipment,good,good
25,female,skilled,own,little,little,1835,21,radio/TV,bad,bad
25,female,skilled,rent,little,moderate,1295,12,car,bad,bad
39,male,skilled,free,unknown,rich,1271,15,radio/TV,bad,bad
46,male,skilled,free,little,little,6331,48,car,bad,bad
65,male,unskilled_non_resident,own,little,little,3394,42,repairs,good,bad
25,male,skilled,own,little,little,975,15,furniture/equipment,good,bad
43,male,skilled,own,unknown,moderate,2899,18,car,good,good
53,female,highly_skilled,own,unknown,unknown,7485,30,car,bad,good
52,male,skilled,own,little,unknown,717,12,radio/TV,good,good
27,female,skilled,own,little,unknown,3609,48,business,good,good
30,male,skilled,own,unknown,moderate,2028,12,car,good,good
27,female,skilled,own,little,unknown,1449,9,business,good,good
28,male,skilled,free,little,unknown,3343,15,furniture/equipment,good,good
42,male,highly_skilled,own,little,unknown,10366,60,car,good,good
24,male,skilled,own,little,moderate,458,9,radio/TV,good,good
33,male,skilled,own,little,unknown,2051,18,radio/TV,good,good
30,male,skilled,rent,little,moderate,2002,12,car,good,bad
28,male,skilled,rent,little,little,6199,12,radio/TV,bad,bad
24,female,unskilled_resident,rent,unknown,unknown,4811,30,car,good,good
34,male,skilled,own,rich,unknown,2578,24,radio/TV,good,good
24,male,unskilled_resident,own,unknown,little,3763,21,car,good,bad
40,male,unskilled_resident,own,little,little,701,12,radio/TV,good,bad
27,male,skilled,own,little,unknown,8648,24,business,bad,bad
21,male,unskilled_resident,rent,little,little,1987,24,radio/TV,bad,bad
34,male,skilled,own,little,unknown,2759,12,furniture/equipment,good,good
28,female,skilled,own,little,moderate,4221,30,business,good,bad
44,male,skilled,own,quite_rich,unknown,2375,24,business,good,good
33,male,skilled,own,little,unknown,3029,15,car,good,good
23,female,highly_skilled,own,little,rich,1961,18,car,good,good
29,male,skilled,own,little,little,6887,36,education,bad,bad
39,female,unskilled_resident,own,unknown,moderate,932,6,education,good,good
33,male,skilled,own,little,rich,6289,42,business,good,good
51,male,skilled,free,little,rich,2892,24,furniture/equipment,good,good
33,male,skilled,own,little,moderate,6403,24,radio/TV,good,good
29,male,skilled,rent,unknown,unknown,7166,42,radio/TV,good,good
26,male,skilled,own,little,moderate,907,8,business,good,good
21,male,skilled,rent,little,moderate,2779,18,car,good,bad
42,male,skilled,free,unknown,unknown,10477,36,car,good,good
39,male,unskilled_resident,own,little,unknown,426,6,radio/TV,good,good
23,female,skilled,own,little,unknown,1943,18,repairs,bad,bad
26,female,skilled,own,quite_rich,unknown,1386,12,car,bad,bad
63,male,skilled,own,unknown,unknown,7596,30,car,good,good
27,male,skilled,own,rich,unknown,8613,27,car,good,good
34,female,highly_skilled,own,little,moderate,1501,9,education,bad,bad
35,female,skilled,own,little,unknown,1291,12,radio/TV,good,good
32,male,skilled,own,little,unknown,4594,18,radio/TV,good,good
25,female,unskilled_resident,own,little,moderate,4736,24,furniture/equipment,bad,bad
34,female,skilled,own,little,unknown,1493,12,radio/TV,good,good
20,female,skilled,rent,unknown,unknown,4675,12,car,good,good
35,male,skilled,own,unknown,moderate,2728,15,radio/TV,good,good
64,male,unskilled_resident,rent,little,little,2384,24,radio/TV,good,good
67,male,skilled,own,unknown,little,1169,6,radio/TV,good,good
49,male,unskilled_resident,own,unknown,rich,3656,30,radio/TV,good,good
36,male,highly_skilled,rent,unknown,moderate,7057,20,car,good,good
42,male,skilled,own,little,unknown,3331,12,furniture/equipment,good,good
42,female,skilled,own,little,moderate,3804,36,radio/TV,bad,good
26,male,highly_skilled,own,quite_rich,unknown,3235,24,radio/TV,good,good
26,male,skilled,own,little,moderate,1424,12,domestic_appliances,good,good
37,male,skilled,free,unknown,moderate,12389,36,car,bad,bad
43,male,skilled,own,little,unknown,1935,12,furniture/equipment,good,good
23,male,skilled,rent,little,rich,1297,12,radio/TV,good,good
55,male,skilled,own,little,little,6872,24,furniture/equipment,bad,bad
22,female,skilled,own,little,unknown,1808,18,furniture/equipment,bad,bad
27,male,skilled,own,unknown,moderate,3711,36,education,good,good
38,male,unskilled_resident,own,little,little,2171,12,car,good,good
44,female,skilled,own,unknown,unknown,5943,24,radio/TV,bad,good
46,male,skilled,free,little,little,3931,48,car,bad,bad
30,male,unskilled_resident,own,little,unknown,2028,24,furniture/equipment,good,good
26,male,skilled,rent,little,unknown,3518,6,car,good,good
51,male,skilled,own,little,unknown,1595,6,radio/TV,good,good
36,male,unskilled_resident,own,little,moderate,4241,24,business,bad,bad
22,female,skilled,own,moderate,little,741,12,domestic_appliances,bad,bad
35,male,highly_skilled,own,little,moderate,1050,6,furniture/equipment,good,good
37,male,skilled,own,little,rich,2100,18,radio/TV,bad,bad
30,female,highly_skilled,own,unknown,little,7174,42,radio/TV,bad,bad
26,male,skilled,rent,little,rich,2687,15,business,good,good
25,male,unskilled_resident,rent,little,unknown,2210,10,furniture/equipment,bad,good
25,female,skilled,own,little,unknown,5771,30,radio/TV,good,good
44,male,skilled,own,quite_rich,unknown,1163,12,car,good,good
38,female,skilled,own,little,unknown,1533,24,radio/TV,good,good
24,female,skilled,own,unknown,unknown,874,15,domestic_appliances,good,good
49,male,unskilled_resident,own,unknown,little,1262,12,furniture/equipment,good,good
66,female,unskilled_resident,own,quite_rich,moderate,790,9,radio/TV,good,good
40,male,highly_skilled,own,little,moderate,4297,18,furniture/equipment,bad,bad
45,female,skilled,own,little,moderate,2329,7,radio/TV,good,good
23,female,skilled,rent,unknown,little,8471,18,education,good,bad
44,male,highly_skilled,rent,little,little,3384,6,furniture/equipment,bad,bad
42,female,skilled,rent,unknown,moderate,1965,24,car,good,good
23,female,skilled,own,moderate,unknown,3812,15,car,good,good
26,male,skilled,own,little,rich,1330,12,car,good,good
50,male,skilled,own,little,unknown,1559,24,business,good,bad
40,male,unskilled_resident,own,little,moderate,1155,12,radio/TV,good,good
36,male,highly_skilled,own,unknown,unknown,1238,6,education,good,good
28,male,skilled,own,little,unknown,1249,24,car,good,good
27,female,skilled,rent,unknown,moderate,1924,18,furniture/equipment,bad,bad
35,male,highly_skilled,own,little,unknown,3780,18,furniture/equipment,good,good
36,male,skilled,rent,little,little,3905,11,car,good,bad
53,female,skilled,own,little,little,795,12,education,bad,bad
46,male,skilled,own,little,little,2348,36,furniture/equipment,good,bad
39,male,highly_skilled,rent,little,little,3345,24,furniture/equipment,bad,bad
34,male,unskilled_resident,own,unknown,unknown,1898,6,radio/TV,good,good
23,female,skilled,rent,little,little,2511,15,car,good,bad
26,male,skilled,own,little,little,759,12,car,bad,bad
20,male,skilled,own,unknown,little,2996,24,furniture/equipment,bad,bad
22,male,unskilled_resident,rent,little,moderate,276,9,car,good,bad
50,male,skilled,own,little,unknown,1574,12,furniture/equipment,good,good
35,female,skilled,own,rich,unknown,1592,12,furniture/equipment,good,good
66,male,highly_skilled,own,little,rich,1908,30,business,bad,bad
36,male,skilled,own,little,moderate,2337,36,radio/TV,good,good
30,male,highly_skilled,own,quite_rich,unknown,2333,30,radio/TV,good,good
27,male,unskilled_resident,own,little,unknown,802,14,car,good,good
28,female,skilled,own,moderate,moderate,2278,18,car,bad,bad
31,female,skilled,own,little,little,6758,48,radio/TV,bad,bad
30,male,highly_skilled,own,unknown,unknown,11054,36,car,good,good
35,female,skilled,free,little,little,1198,6,education,bad,bad
25,female,skilled,rent,little,moderate,2969,12,furniture/equipment,bad,bad
30,male,skilled,own,little,unknown,1224,9,car,good,good
67,female,highly_skilled,own,little,moderate,1199,9,education,good,good
24,male,skilled,own,little,unknown,1800,18,radio/TV,good,good
19,female,skilled,rent,little,unknown,1980,9,furniture/equipment,bad,bad
34,female,highly_skilled,rent,little,moderate,3017,12,furniture/equipment,good,bad
25,male,skilled,own,unknown,moderate,1484,12,radio/TV,bad,bad
61,male,highly_skilled,free,little,moderate,1953,36,business,bad,bad
31,female,skilled,own,little,unknown,9566,36,radio/TV,good,good
52,female,unskilled_resident,own,moderate,unknown,362,6,car,good,good
27,female,unskilled_non_resident,own,little,little,750,18,education,bad,bad
43,male,skilled,own,unknown,unknown,2197,24,car,good,good
39,male,skilled,own,quite_rich,unknown,2299,36,radio/TV,good,good
38,female,highly_skilled,free,little,moderate,12976,18,car,bad,bad
28,female,skilled,own,little,unknown,1817,18,furniture/equipment,good,bad
47,male,unskilled_resident,own,little,moderate,958,12,car,good,good
21,male,skilled,rent,moderate,moderate,3031,45,radio/TV,bad,bad
30,female,skilled,own,rich,unknown,960,15,furniture/equipment,good,good
57,female,highly_skilled,rent,rich,little,1231,24,radio/TV,good,good
57,male,highly_skilled,free,little,moderate,14318,36,car,bad,bad
53,male,skilled,free,little,little,4870,24,car,bad,bad
34,male,skilled,own,little,moderate,5800,36,car,good,good
26,female,skilled,own,little,rich,3749,24,furniture/equipment,good,good
23,female,unskilled_resident,rent,little,little,6229,36,furniture/equipment,bad,bad
26,female,unskilled_non_resident,rent,little,moderate,1778,15,car,bad,bad
31,male,skilled,own,quite_rich,unknown,3430,24,radio/TV,good,good
31,female,skilled,own,moderate,unknown,1532,15,education,good,good
27,male,skilled,own,unknown,unknown,1221,6,furniture/equipment,good,good
31,male,unskilled_resident,own,little,moderate,1521,10,furniture/equipment,good,good
37,male,unskilled_resident,own,little,rich,3949,10,car,good,good
31,male,skilled,rent,little,little,2302,36,radio/TV,bad,bad
31,male,skilled,own,unknown,rich,3148,24,radio/TV,good,good
25,male,unskilled_resident,own,little,moderate,866,18,radio/TV,good,good
41,female,unskilled_resident,own,rich,unknown,250,6,car,good,good
35,male,unskilled_resident,own,rich,moderate,1941,18,business,good,good
43,female,unskilled_resident,own,little,unknown,1459,15,radio/TV,good,good
30,male,highly_skilled,own,moderate,little,2249,18,car,good,good
36,male,skilled,own,rich,rich,1275,24,business,good,good
34,male,unskilled_resident,own,moderate,unknown,1743,6,business,good,good
41,female,unskilled_resident,rent,unknown,unknown,1244,9,education,good,good
48,female,unskilled_resident,rent,little,moderate,1795,18,radio/TV,good,good
26,female,skilled,own,little,unknown,763,12,furniture/equipment,good,bad
20,female,unskilled_resident,rent,little,moderate,2718,24,car,bad,bad
57,female,unskilled_resident,free,little,unknown,2748,12,education,good,good
30,female,skilled,own,moderate,unknown,1864,18,education,bad,good
34,male,highly_skilled,own,little,rich,1337,9,radio/TV,bad,bad
37,male,skilled,own,moderate,moderate,3878,24,car,good,good
25,female,unskilled_resident,own,moderate,moderate,2631,15,repairs,good,good
32,female,unskilled_resident,own,moderate,little,1282,24,radio/TV,bad,bad
32,male,skilled,own,unknown,unknown,2662,18,car,good,good
22,female,skilled,rent,little,little,1366,9,radio/TV,bad,bad
26,male,skilled,own,little,little,4788,48,car,good,bad
26,male,skilled,own,little,unknown,1076,12,business,good,good
27,male,highly_skilled,own,little,little,3416,27,radio/TV,good,bad
26,female,unskilled_resident,rent,moderate,moderate,4280,30,business,bad,bad
57,male,unskilled_resident,own,little,little,709,12,radio/TV,bad,bad
26,male,skilled,own,little,unknown,5117,27,business,good,bad
48,female,unskilled_resident,own,unknown,moderate,4351,24,furniture/equipment,good,good
24,male,skilled,own,quite_rich,unknown,2569,39,car,good,good
30,male,skilled,own,little,moderate,639,12,repairs,bad,bad
23,female,highly_skilled,rent,little,moderate,11560,24,car,bad,bad
40,male,highly_skilled,own,unknown,little,1358,24,vacation/others,bad,bad
26,female,skilled,own,little,moderate,9960,48,furniture/equipment,bad,bad
61,male,skilled,own,rich,moderate,1512,15,repairs,bad,bad
28,male,skilled,own,little,little,1108,12,repairs,bad,bad
26,female,skilled,rent,little,unknown,1388,9,furniture/equipment,good,good
49,male,skilled,own,moderate,rich,1126,9,radio/TV,good,good
63,male,skilled,own,little,little,2924,24,car,good,good
31,female,skilled,rent,unknown,unknown,2901,10,car,good,good
60,male,skilled,own,little,little,2246,12,furniture/equipment,bad,bad
28,male,skilled,own,little,unknown,776,12,radio/TV,good,good
42,male,highly_skilled,own,little,unknown,2292,12,business,bad,bad
29,male,skilled,own,unknown,unknown,1169,18,radio/TV,good,good
30,female,skilled,own,unknown,little,7721,24,furniture/equipment,good,bad
27,male,unskilled_resident,own,moderate,unknown,4139,24,business,good,good
54,male,skilled,own,little,little,3051,48,domestic_appliances,bad,bad
40,male,unskilled_resident,own,unknown,little,1647,21,car,bad,bad
33,male,unskilled_resident,own,moderate,little,727,12,radio/TV,bad,bad
25,male,skilled,own,little,moderate,14421,48,business,bad,bad
36,male,skilled,own,little,moderate,884,18,car,bad,bad
34,female,skilled,own,little,unknown,4454,36,radio/TV,good,good
22,male,skilled,rent,moderate,moderate,3092,24,radio/TV,bad,bad
27,male,skilled,own,moderate,unknown,2463,24,car,good,good
41,female,highly_skilled,rent,little,unknown,3868,24,car,good,good
44,female,highly_skilled,free,little,little,6419,24,car,good,good
34,male,skilled,own,moderate,moderate,2622,18,business,good,good
36,male,skilled,own,moderate,unknown,2872,24,radio/TV,good,good
36,female,skilled,own,little,unknown,1028,18,car,good,good
38,male,skilled,own,moderate,moderate,1216,24,radio/TV,bad,good
33,male,skilled,own,little,moderate,1245,18,radio/TV,bad,good
53,male,highly_skilled,free,little,little,7865,12,furniture/equipment,bad,bad
35,male,unskilled_resident,rent,moderate,unknown,1418,10,car,good,good
35,female,highly_skilled,own,little,unknown,1393,11,car,good,good
31,male,skilled,own,rich,little,3651,12,car,good,good
42,male,skilled,own,quite_rich,unknown,522,12,radio/TV,good,good
59,male,skilled,own,little,little,1364,9,radio/TV,good,good
25,female,skilled,own,unknown,unknown,2394,36,radio/TV,good,good
56,female,skilled,own,little,unknown,1538,6,education,good,good
33,male,skilled,own,little,unknown,5150,24,furniture/equipment,good,bad
35,male,skilled,own,quite_rich,little,1680,12,radio/TV,good,good
33,female,highly_skilled,own,little,rich,1474,12,furniture/equipment,good,good
42,male,skilled,free,little,little,5493,36,car,good,bad
22,female,skilled,own,little,moderate,1567,12,radio/TV,good,good
28,male,unskilled_resident,own,little,little,654,9,car,bad,bad
28,male,skilled,own,moderate,rich,1323,6,car,good,good
23,female,skilled,own,little,unknown,2288,21,furniture/equipment,good,bad
25,male,skilled,rent,moderate,moderate,1264,15,car,bad,bad
54,male,skilled,own,little,little,1409,12,car,good,good
37,male,unskilled_resident,own,little,moderate,1154,9,radio/TV,good,good
74,male,highly_skilled,own,little,unknown,4526,24,business,good,bad
37,male,skilled,own,unknown,unknown,7409,36,business,good,bad
31,male,highly_skilled,rent,little,unknown,1963,12,radio/TV,good,good
54,male,skilled,own,unknown,unknown,2255,24,car,good,good
37,female,skilled,rent,quite_rich,unknown,1402,12,furniture/equipment,good,good
24,female,unskilled_non_resident,rent,unknown,moderate,7472,12,car,good,good
37,male,unskilled_resident,own,unknown,rich,1344,24,car,bad,bad
36,female,unskilled_resident,own,rich,unknown,1572,21,business,good,good
23,male,unskilled_resident,own,quite_rich,moderate,2520,27,radio/TV,bad,bad
35,male,skilled,own,little,unknown,2346,24,car,good,good
29,male,highly_skilled,rent,moderate,unknown,1901,24,radio/TV,good,good
44,male,skilled,own,little,little,1553,18,furniture/equipment,bad,bad
21,female,skilled,rent,moderate,moderate,3441,30,furniture/equipment,bad,bad
35,male,skilled,own,moderate,unknown,2141,12,radio/TV,good,good
30,female,skilled,own,little,little,1620,12,furniture/equipment,good,bad
42,male,highly_skilled,own,moderate,moderate,8086,36,car,bad,bad
31,male,unskilled_resident,own,little,moderate,1410,12,education,good,good
30,male,skilled,own,little,moderate,7966,26,car,good,good
42,female,skilled,own,unknown,moderate,5084,24,radio/TV,good,good
22,female,skilled,rent,little,unknown,433,18,radio/TV,bad,good
48,male,skilled,own,little,little,1024,24,radio/TV,bad,bad
37,male,highly_skilled,own,quite_rich,unknown,12749,48,radio/TV,good,good
26,male,skilled,own,unknown,unknown,2069,10,furniture/equipment,good,good
